global_step_id,file,axis,step_id_in_file,step_deg,abs_step_deg,direction,t_s,err_px_raw,offset_px,y_zero_px,y_gain_px_per_deg,y_aligned_px,err_norm_raw,y_zero_norm,sample_idx
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.031596,9.0374,9.0411,-0.0037,0.00074,0.0037,0.028242,-1.1e-05,1
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.062844,0.2904,9.0411,-8.7507,1.75014,8.7507,0.000908,-0.027345,2
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.096129,-63.0186,9.0411,-72.0597,14.41194,72.0597,-0.196933,-0.225186,3
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.127755,-68.917,9.0411,-77.9581,15.59162,77.9581,-0.215366,-0.243619,4
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.160253,-71.804,9.0411,-80.8451,16.16902,80.8451,-0.224387,-0.25264,5
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.206395,-72.3733,9.0411,-81.4144,16.28288,81.4144,-0.226166,-0.254419,6
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.240374,-72.6095,9.0411,-81.6506,16.33012,81.6506,-0.226905,-0.255158,7
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.271336,-72.5403,9.0411,-81.5814,16.31628,81.5814,-0.226688,-0.254941,8
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.303336,-72.4557,9.0411,-81.4968,16.29936,81.4968,-0.226424,-0.254677,9
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.335392,-72.5333,9.0411,-81.5744,16.31488,81.5744,-0.226666,-0.254919,10
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.368384,-72.589,9.0411,-81.6301,16.32602,81.6301,-0.226841,-0.255094,11
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.398754,-72.5062,9.0411,-81.5473,16.30946,81.5473,-0.226582,-0.254835,12
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.43256,-72.5375,9.0411,-81.5786,16.31572,81.5786,-0.22668,-0.254933,13
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.463683,-72.5665,9.0411,-81.6076,16.32152,81.6076,-0.22677,-0.255023,14
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.495705,-72.5698,9.0411,-81.6109,16.32218,81.6109,-0.226781,-0.255034,15
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.527731,-72.5922,9.0411,-81.6333,16.32666,81.6333,-0.226851,-0.255104,16
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.559752,-72.6022,9.0411,-81.6433,16.32866,81.6433,-0.226882,-0.255135,17
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.60694,-72.5895,9.0411,-81.6306,16.32612,81.6306,-0.226842,-0.255095,18
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.639329,-72.5407,9.0411,-81.5818,16.31636,81.5818,-0.22669,-0.254943,19
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.673371,-72.5316,9.0411,-81.5727,16.31454,81.5727,-0.226661,-0.254914,20
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.702554,-72.556,9.0411,-81.5971,16.31942,81.5971,-0.226737,-0.25499,21
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.735336,-72.5365,9.0411,-81.5776,16.31552,81.5776,-0.226677,-0.25493,22
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.767265,-72.5645,9.0411,-81.6056,16.32112,81.6056,-0.226764,-0.255017,23
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.799388,-72.5269,9.0411,-81.568,16.3136,81.568,-0.226647,-0.2549,24
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.831415,-72.5892,9.0411,-81.6303,16.32606,81.6303,-0.226841,-0.255094,25
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.86435,-72.578,9.0411,-81.6191,16.32382,81.6191,-0.226806,-0.255059,26
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.89651,-72.5519,9.0411,-81.593,16.3186,81.593,-0.226725,-0.254978,27
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.928923,-72.5547,9.0411,-81.5958,16.31916,81.5958,-0.226733,-0.254986,28
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,0.959229,-72.5776,9.0411,-81.6187,16.32374,81.6187,-0.226805,-0.255058,29
2,sprungantwort_PAN_-5deg_20260622_213010.csv,PAN,2,-5.0,5.0,-,1.008532,-72.5906,9.0411,-81.6317,16.32634,81.6317,-0.226846,-0.255099,30
